FORMAT = Name, Type, Ra, Dec, I, ReferenceFrequency
rich_centre_a, POINT, 01:37:41.299, 33.09.35.132, 3.333746, 160000000.0
rich_centre_b, POINT, 01:37:48.466, 33.08.30.332, 0.580286, 160000000.0
rich_east_a, POINT, 01:39:35.974, 33.12.35.132, 2.686609, 160000000.0
rich_east_b, POINT, 01:39:46.008, 33.14.01.532, 0.398246, 160000000.0
rich_west_a, POINT, 01:35:40.890, 33.07.11.132, 2.443615, 160000000.0
rich_west_b, POINT, 01:35:30.856, 33.05.51.932, 0.358974, 160000000.0
rich_north_a, POINT, 01:37:58.500, 33.32.23.132, 2.058287, 160000000.0
rich_north_b, POINT, 01:37:50.473, 33.33.53.132, 0.308668, 160000000.0
rich_south_a, POINT, 01:37:12.630, 32.45.35.132, 1.899982, 160000000.0
rich_south_b, POINT, 01:37:03.456, 32.44.08.732, 0.266426, 160000000.0
